community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
6.2,Okay,"Imagine driving a big monster truck on a Moon-like planet while other monster trucks get in your way. You fly along in your monster truck, bouncing over rough terrain, collecting weapons and power-ups, all the while avoiding other drivers whose sole purpose is to prevent you from finishing the race. In other words, OFF WORLD INTERCEPTOR offers some fast and furious racing action. You can also take on a friend in the versus mode, and see who is king of the Moon monster trucks.",Crystal Dynamics,Action,4.0,Bad,PS Saturn,27.99 USD,Crystal Dynamics,M for Mature,Animated Violence,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","May 27, 1997",http://psx.ign.com/articles/150/150704p1.html,Off-World Interceptor Extreme,http://www.ign.com/games/off-world-interceptor-extreme/ps-704
6.8,Okay,"Rez is out to destroy the Television Realm, and only Gex the Gecko can save it. Unfortunately, Gex has retired, but a huge pile of cash from the government quickly changed his mind. You take control of Gex as he travels through 24 levels with themes that are parodies of television and movies. In each level Gex must collect remote controls to open new areas and eventually fight the level boss. Throughout all of the levels, Gex (voiced by HBO comedian Dana Gould) rattles off a variety of wise cracks to lighten the mood of the game. Many of the comments are keyed to the theme of the area Gex is exploring. Will Gex be able to defeat Rez? Will he be able to get over his television addiction? Find the answers to these questions by playing GEX: Enter the Gecko.",Crystal Dynamics,Platformer,6.0,Okay,PS Saturn 3DO PC PSP PS3,27.99 USD,Crystal Dynamics,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Jan 1, 1996",http://psx.ign.com/articles/150/150149p1.html,Gex,http://www.ign.com/games/gex/ps-149
7.2,Good,"The evil Baron Dark has stolen the Lightstar Crystal. With it, he can turn anyone into one of his slaves. You take the role of Prince Lightstar, and you've got to battle your way through 20 levels of intense fighting action as you pursue the Baron and try to recover the crystal. Along the way, you will encounter the skeleton hoard, but they're easily dispatched with your trusty sword. In addition to the skeletons, you will also face birds, bats, dogs, and other animals. There are total of 100 different enemies, each with unique strengths and weaknesses. Thanks to the power of the PlayStation, every enemy and character is smoothly animated. Everything from jumps to skeleton explosions are accomplished cleanly with no graphical hiccups. Try to defeat the evil Baron and save the Lightstar Crystal in SKELETON WARRIORS.",Neversoft Entertainment,Action,5.0,Mediocre,PS LCD Saturn,31.99 USD,Playmates,E for Everyone,Animated Violence,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Jun 1, 1997",http://psx.ign.com/articles/150/150707p1.html,Skeleton Warriors,http://www.ign.com/games/skeleton-warriors/ps-707
6.5,Okay,"Try to escape from Sin Sin Prison and clear your name in JOHNNY BAZOOKATONE. You take the role of the title character as he tries to escape from prison, traveling through lushly drawn environments including a vine-filled courtyard and a catwalk filled inner sanctum while battling the various enemies that block your path. Luckily, you have your trusty guitar to help dispatch the enemies. To eliminate the enemies quickly, you can use a special shockwave attack. Not all of the levels have you battling bad guys, though. At one point, you must navigate a sewer system while riding in a rocket-powered wheelchair. A soundtrack featuring Bon Jovi guitarist Richie Sambora makes the game rock and roll all night. Will Johnny be able to escape from prison and clear his name? Find out by playing JOHNNY BAZOOKATONE.",Arc Developments,Platformer,5.0,Mediocre,PS PC 3DO Saturn,56.99 USD,Acclaim Entertainment,E for Everyone,Animated Violence,"http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","May 26, 1997",http://psx.ign.com/articles/150/150674p1.html,Johnny Bazookatone,http://www.ign.com/games/johnny-bazookatone/ps-674
6.5,Okay,"PGA TOUR¿96 is an early entry in the long line of PGA Tour titles for the PlayStation. The interface is intuitive and easy to use, and the expansive list of gameplay options results in a fun and gratifying experience. It has two courses (Sawgrass and Spanish Bay), real golfers, various camera angles, and precise play control, resulting in an ultra-realistic golf experience. You can also take on a friend in the Versus mode, which has Best Ball, Skins, and Match Play. PGA TOUR '96 is one of the games that helped set the table for future golf games, and it is worth checking out.",Electronic Arts,Sports,7.0,Good,PS Gen PC SNES Saturn 3DO GB,57.99 USD,Electronic Arts,K-A for No Rating,,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Jan 1, 1996",http://psx.ign.com/articles/150/150165p1.html,PGA Tour '96,http://www.ign.com/games/pga-tour-96/ps-165
8.0,Great,"Go retro with Namco Museum Vol. 1, a collection of some of the best games from the glory days of the arcade. This volume features Pac-Man, Galaga, Pole Position, Bosconian, Rally-X, New Rally X, and Toy Pop.",Namco,Action,8.0,Great,PS PS3 Vita PSP,,Namco,E for Everyone,,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/playstation-underground-jampack-vol-1/ps-8847,http://www.ign.com/games/arcade-party-pak/ps-11812,http://www.ign.com/games/playstation-underground-jampack-winter-99/ps-13485,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","May 27, 1997",http://psx.ign.com/articles/150/150702p1.html,Namco Museum Vol. 1,http://www.ign.com/games/namco-museum-vol-1/ps-702
7.5,Good,"Race the world's most exciting supercars, each modeled after its real-life counterpart on six challenging, scenic tracks. Pick your race: Time Trials, Head-To-Head, Single Race or Tournament.","EA Canada, Pioneer Productions",Racing,7.0,Good,PS PC 3DO Saturn PC,34.99 USD,Electronic Arts,E for Everyone,,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","May 27, 1997",http://psx.ign.com/articles/151/151864p1.html,Road & Track Presents: The Need for Speed,http://www.ign.com/games/road-and-track-presents-the-need-for-speed/ps-1864
6.9,Okay,"The rally is on! Four venomous computer opponents try to make your job as tough as possible as you speed around six of the most harrowing rally courses the world has ever known. Journey deep into the desert, through the lush hills of Europe, and around gigantic stadiums as you try to prove your driving superiority. The more you win, the more vehicles you can unlock but with 20 different racers to reveal, you've got your work cut out for you. There are four hardcore rally trucks included in the bunch, and each has its own independent suspension, speed, handling, and acceleration ratings to help you choose the right one. Mud throwing, fishtailing, and forcing wrecks are all par for the course, as you do what you have to in the heat of battle. Beware, though: the powerslides, rolling crashes, and head-on collisions might look cool, but they'll damage your vehicle for good. Test your mettle in a Season, or enter a Tournament, choosing from three difficulty levels and four unique perspectives. You'd better wear your helmet for this rally, folks.",SCEA,Racing,7.0,Good,PS Android PS3 PSP,29.99 USD,Sony Computer Entertainment,E for Everyone,No Descriptors,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 17, 1997",http://psx.ign.com/articles/150/150757p1.html,Rally Cross,http://www.ign.com/games/rally-cross/ps-757
6.1,Okay,"It isn't every day that a unique, innovative adventure comes along, but SPIDER certainly falls into that category. Get into the body of an eight-legged, multi-eyed tarantula in this 32-level, 3D graphic adventure from Boss Studios and BMG Interactive. You control the spider, a bug with the conscience of a scientist who, in 2018, was shot for his cybernetic spider inventions. As an arachnid, utilize different arms both offensive weapons and defensive tools to crawl to victory against the evil forces that have caused your current physical form. Of course, you're not limited to ground movement alone. The walls and ceilings are also home to your web-spinning ways, but you have to be cautious around all obstacles, whether it's fire, water, or just a plain test tube you're only an inch tall! Your fearsome adversaries include slugs, bats, an energized cerebrum, and a host of vile creatures. Take control, strap on some new arms, and don't get stepped on!",Boss Game Studios,Action,6.0,Okay,PS 2600,46.99 USD,BMG Interactive,,,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Dec 5, 1996",http://psx.ign.com/articles/150/150614p1.html,Spider,http://www.ign.com/games/spider/ps-614
7.2,Good,"When elements of Tag are combined with elements from Capture the Flag, GRID RUNNER is the result. The players run around a maze trying to capture a number of flags. The catch is that only one player has the ability to collect the flags at any one time. The player who is collecting the flags must watch out for opponents who will try to tag them and steal the flag-capturing ability. To make the entire situation more interesting, all of the players can use magical powers (including fireballs, electric bridges, and mines) to defend themselves. There are also teleport pads and launchers that allow quick access to different parts of each maze, and can be used as escape routes. There is also two-player mode for some friendly competition. Strap on the running shoes, and try to survive the excitement and challenges of GRID RUNNER.",Radical Entertainment,Action,6.0,Okay,PS PC Saturn,26.47 USD,Virgin Interactive,K-A for No Rating,Animated Violence,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Oct 14, 1996",http://psx.ign.com/articles/150/150434p1.html,Grid Runner,http://www.ign.com/games/grid-runner/ps-434
