community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
7.8,Good,"The G-Police are exhausted after their last battle with terrorists. Unfortunately, small gangs are taking advantage of the situation and wreaking even more havoc on the city. With crime on the rise, the Marines have been called into the city to help maintain control. However, they are a few days away, and by the time they arrive, the gangs will have become full-blown crime syndicates. Now you must use five different vehicles, two airborne gun ships, the Havoc and Venom; a bipedal assault mech, the Raptor; an armored troop transport, the Rhino; and a Corsair space ship to take a bite out of crime. With 30 missions and a wide range of mission objectives (including seek-and-destroy missions along with routine police patrols), there is plenty to do. Can you handle the pressure of trying to keep crime under control in G-POLICE: Weapons of Justice?",Psygnosis,Action,8.5,Great,PS,38.99 USD,Psygnosis,T for Teen,Animated Violence,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","September 24, 1999",http://psx.ign.com/articles/160/160600p1.html,G-Police: Weapons of Justice,http://www.ign.com/games/g-police-weapons-of-justice/ps-10600
6.3,Okay,"The classic Atari 2600 game YAR'S REVENGE has made its way to the Game Boy Color. You take control a giant space fly known as a Yar, and you must destroy the Qotile base on the other side of the screen. But you must first get through the large shield that guards the base. Fortunately, you have an unlimited supply of missiles to destroy the shield, or you can fly into the shield and eat a brick. Once there is an opening in the shield, touch the Qotile base with the Yar to activate the Zorlon Cannon. Once activated, you can fire the cannon to destroy the base. As you progress through the 250 levels, the game moves faster and becomes more challenging. Help Yar destroy the Qotile in YAR'S REVENGE.",Telegames,Action,7.0,Good,GBC 2600,29.99 USD,Telegames,E for Everyone,,"http://www.ign.com/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,http://www.ign.com/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,http://www.ign.com/games/batman-chaos-in-gotham/gbc-14474,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",September 1999,http://gameboy.ign.com/articles/162/162717p1.html,Yars' Revenge [1999],http://www.ign.com/games/yars-revenge-1981/gbc-12717
7.1,Good,"Can you name the three races of the Triple Crown? Do you know what horse last won the Triple Crown? Does the name Man O' War mean anything to you? If you answered, Yes, to these questions, then GALLOP RACER is for you. You start by creating a jockey, and then picking a horse; every horse has unique attributes as well as a unique temperament. Entering horses into races is easy, but winning takes extensive knowledge. You will need to know which horses run well on turf and which do better on dirt, as well as which animals are sprinters and which prefer long distance. As you win more races and buy more steeds, you will be able to breed the animals to create the perfect thoroughbred. If all of these options and decisions sound confusing, use the Practice mode to jump on a mount and ride around the track. GALLOP RACER brings the sport of kings to your living room.",Tecmo,Racing,8.5,Great,PS,42.99 USD,Tecmo,E for Everyone,No Descriptors,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","September 15, 1999",http://psx.ign.com/articles/160/160631p1.html,Gallop Racer,http://www.ign.com/games/gallop-racer/ps-10631
7.3,Good,"CHAMPIONSHIP MOTOCROSS FEATURING RICKEY CARMICHAEL brings the jumps and stunts of motocross racing to the PlayStation. Pick a bike from three categories 125cc, 250cc, and 500cc and customize it. Then use the Practice mode to learn how to get the most out of your vehicle. When you feel comfortable turning and burning, challenge all comers to a single race on one of 12 tracks, or endure the ups and downs of a season. With the championship in hand, challenge your friends to some head-to-head action. No matter what mode you play, the thumping tunes of Vanilla Ice, Godsmack, and others will draw you into the action. CHAMPIONSHIP MOTOCROSS will challenge all of your driving skills.",Funcom,Racing,8.7,Great,PS,28.99 USD,THQ,E for Everyone,,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","August 15, 1999",http://psx.ign.com/articles/160/160581p1.html,Championship Motocross Featuring Ricky Carmichael,http://www.ign.com/games/championship-motocross-featuring-ricky-carmichael/ps-10581
8.3,Great,"If you're taken out by a Monster Hit, redemption is easy- drop the gloves and slug it out in a good old-fashioned BROOH HA-HA. Pick up and play with the tutorial level, or take a team from cellar to the Stanley Cup in new Dynasty Mode. PlayStation will reward you with fast-paced 'arcade' style gameplay. PC will allow you to take the shots, deliver the hits and set up your favorite players with the 'Import Your Face' feature. PlayStation or PC, NHL 2000 is your ticket to an action-packed NHL season.",Electronic Arts,Sports,8.2,Great,PC PS GBC,14.99 USD,Electronic Arts,E for Everyone,Animated Violence,"http://www.ign.com/games/nba-2k17/pc-20052300,http://www.ign.com/games/pro-evolution-soccer-2017/pc-20054110,http://www.ign.com/games/wwe-2k17/pc-20063609,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Sep 20, 1999",http://pc.ign.com/articles/163/163036p1.html,NHL 2000,http://www.ign.com/games/nhl-2000/pc-13036
5.2,Mediocre,"After saving the television realm from destruction, Gex retired to Maui. Unfortunately, Rez has returned and wants to take over the television realm again. Now Gex must come out of retirement. Guide him through 26 levels, each with a number of missions to complete. Finishing a mission will earn a remote control; collect enough remotes and new stages open. In all of the levels, Gex will have to either avoid or fight enemies. Luckily, he is equipped with a tail that can whip the bad guys into shape. To further aid in the fight, Gex can eat flies that will grant him an extra life or increase the power of his attacks, among other things. Help the gecko with attitude save the television realm in GEX: Enter the Gecko.",David A. Palmer Productions,Action,5.0,Mediocre,GBC PS Vita N64 PSP PC PS3,28.99 USD,Crave Entertainment,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,http://www.ign.com/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,http://www.ign.com/games/batman-chaos-in-gotham/gbc-14474,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",April 1999,http://gameboy.ign.com/articles/160/160822p1.html,Gex: Enter the Gecko,http://www.ign.com/games/gex-64-enter-the-gecko/gbc-10822
7.6,Good,"Now it's your turn to sink your opponent's battleship in this Game Boy Color rendition of the classic strategic board game. Players deploy all four of their ships to different areas on a grid, and take turns firing shots at various parts of their opponent's grid. Hit each ship the required number of times, and the ship is removed from play. In a unique twist on the classic game, each ship has new weapons. For the solo player, there are 48 missions to complete with animated full-color cutscenes to inspire you to victory! The real challenge however, is taking on a human opponent via a link cable. Forget setting up the board and looking for missing pieces, this is the real way to play Battleship!",Majesco,Puzzle,7.0,Good,GBC NES Cell GB CD-i GG,29.99 USD,Majesco,E for Everyone,No Descriptors,"http://www.ign.com/games/tonka-construction-site/gbc-662099,http://www.ign.com/games/pokemon-puzzle-challenge/gbc-13800,http://www.ign.com/games/shanghai-pocket/gbc-10787,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",January 1999,http://gameboy.ign.com/articles/160/160771p1.html,Battleship [1999],http://www.ign.com/games/battleship-1991/gbc-10771
8.2,Great,"Disciples is a turn-based fantasy strategy game that is clearly inspired by the Heroes Of Might & Magic series, and that is not a bad thing. Like Heroes, you have a town that you upgrade with new structures that give you access to new creatures. Like Heroes, you trot small groups around the map to claim resources and fight neutral monsters guarding treasures. Like Heroes, while all this is happening, some tough computer opponents (with quite good AI) are engaging in the same tasks as both sides prepare for the inevitable clash. So the basic gameplay is running a few groups around, fighting things, grabbing resources, upgrading your capital city, and then attempting to meet the victory conditions. This is all very much like Heroes Of Might and Magic. But let's talk about how Disciples veers off on a very satisfying different course.",Strategy First,Strategy,8.5,Great,PC,29.99 USD,GT Interactive,E for Everyone,"Blood, Animated Violence","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Oct 4, 1999",http://pc.ign.com/articles/162/162718p1.html,Disciples: Sacred Lands,http://www.ign.com/games/disciples-sacred-lands/pc-12718
8.5,Great,"MONACO GRAND PRIX lets you race your customized vehicle on 16 different Formula 1 tracks from around the world. You can tweak your car to your own specifications: adjust the steering angle, fuel quantity, type of tires, or angles of front and rear wings, among other options. The result is your very own ultimate driving machine. See if you can negotiate the twists and turns of each track, and keep an eye on the action with any of seven different camera views. In addition to Single Race, Time Attack and Championship Circuit modes, the game features a multi-season Career mode, in which you can lose your spot on the team if you have a bad track record. Put the pedal to the metal and see where the MONACO GRAND PRIX can take you!",Ubisoft,Racing,8.4,Great,N64 PS DC,64.99 USD,Ubisoft,E for Everyone,,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","September 01, 1999",http://ign64.ign.com/articles/155/155485p1.html,Monaco Grand Prix,http://www.ign.com/games/monaco-grand-prix/n64-5485
6.1,Okay,"Lay your cards on the table in a virtual Casino Royale with VEGAS GAMES 2000. Are you a gambling fan with high-roller tastes and scant real-life funds? Never fear all the high-stakes, action-crammed gaming excitement you need is here to be savored. Grab your hefty 5,000-dollar stake and choose from 21 casino games like Blackjack, Roulette, Baccarat, Craps, Poker (table and video), and a wide variety of clanging and flashing slots. Check out the manual's helpful instructions and gambling hints and go to town with Draw, Stud, or Texas Hold 'Em Poker. If Video Poker is more your style, you can enjoy Jacks or Better, Double Down, Jokers Wild, and others. In VEGAS GAMES 2000 you can play Single, Two, or Four-deck Blackjack, Buffet, Ancient Treasures, or Easy Money slots while enjoying all the sights and sounds of real casino action. And with multiplayer support for up to four players, you'll never have to lose your money alone.",3DO,Strategy,4.0,Bad,PS PC,26.99 USD,3DO,E for Everyone,Gambling,"http://www.ign.com/games/final-fantasy-tactics/ps-26,http://www.ign.com/games/age-of-empires/ps-20051961,http://www.ign.com/games/command-and-conquer-red-alert/ps-2198,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",September 1999,http://psx.ign.com/articles/161/161536p1.html,Vegas Games 2000,http://www.ign.com/games/vegas-games-2000/ps-11536
