community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title
7.2,Good,"With image rendering in classic cartoon styling, voice acting by Hollywood personalities and appearances of many of the favorite Superman characters, Shadow of Apokolips promises to be a familiar delight to all types of players.  Gameplay includes puzzles, tests of strength, civilian rescues, and even a level as Clark Kent.  As Superman, you'll get to demolish an army on Inter-bots, then dish out the punishment on classic supervillains like Lex Luthor and Livewire. Gameplay is estimated at 12-15 hours.",Infogrames Sheffield House,Action,7.0,Good,PS2 GBA GCN,17.99 USD,Infogrames,E for Everyone,Animated Violence,"http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","September 24, 2002",http://ps2.ign.com/articles/372/372273p1.html,Superman: Shadow of Apokolips
7.6,Good,"Tribes: Aerial Assault brings the fast and furious action of Sierra's ultra popular team-based online action game to Sony's PS2. It features a whole new game engine designed specifically for the PS2 version and offers everything you'd expect from a Tribes title including vehicular combat, team-based combat, various gameplay modes (Capture the Flag, Hunter, Deathmatch, Team Deathmatch, and Capture & Hold) along with a robust single player campaign, split screen multiplayer and online play via Sony's PS2 broadband adapter.",Inevitable Entertainment,Action,7.2,Good,PS2,19.99 USD,Sierra,T for Teen,Realistic Violence,"http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","September 24, 2002",http://ps2.ign.com/articles/372/372276p1.html,Tribes: Aerial Assault
8.5,Great,"For fans of Sega Genesis never was there a game more widely hailed as Ghouls 'n Ghosts. Capcom brings that old school action to Game Boy Advance with Super Ghouls 'n Ghosts. Once again taking on the role of Arthur, players must venture through the dark and gloomy land in the hopes of freeing the princess and defeating the evil Loki. Much like its Genesis predecessor, Super Ghouls & Ghosts will insane armor transformations, a wide variety of weapons and stunning 2D visuals.",Capcom,Action,8.5,Great,GBA Wii U Wii SNES New 3DS,19.99 USD,Capcom,E for Everyone,Mild Violence,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508","September 25, 2002",http://gameboy.ign.com/articles/372/372289p1.html,Super Ghouls 'N Ghosts
8.5,Great,"Cautiously, you creep through the jungle, the hostile compound spreading out before you. Silently, you signal actions to your teams. Alpha slowly crawls downhill while Bravo sets up support. Your sniper moves to a secure location, searching for hostiles. Suddenly, tracers light up the ground in front of you. You've been spotted. Analyzing the situation, you instruct one team to flank the enemy group while the other lays down suppressive fire. After clearing the compound, you grab the package, check for wounded, and then make your way to the next objective -- ghost-like. Expansion pack release featuring eight new single player missions and five multiplayer maps.",Red Storm Entertainment,"First-Person, Shooter",8.4,Great,PC Xbox,7.99 USD,Ubisoft,M for Mature,"Blood and Gore, Violence","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Sep 25, 2002",http://pc.ign.com/articles/372/372169p1.html,Tom Clancy's Ghost Recon: Island Thunder
6.4,Okay,"Freshly hatched gamers and hardboiled puzzle fanatics alike will crack under the extreme pressure of this innovative and highly addictive arcade-style puzzler! Developed exclusively for next-generation platforms, Egg Mania Eggstreme Madness is a puzzle gourmet's feast rich in numerous modes of play, served up with animated egg characters and seasoned with a delightful array of hidden surprises.",HotGen Studios,Puzzle,6.3,Okay,PS2 GBA GCN Xbox,9.99 USD,Kemco,E for Everyone,,"http://www.ign.com/games/aqua-aqua/ps2-14413,http://www.ign.com/games/super-bust-a-move/ps2-15284,http://www.ign.com/games/detonator/ps2-677673,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","September 19, 2002",http://ps2.ign.com/articles/372/372142p1.html,Egg Mania: Eggstreme Madness
7.3,Good,"Featuring both classic and modern military aircraft, Airforce Delta Storm enables players to unlock up to 9 different fighters as they progress through the game. Twenty thrilling missions include aerial dog fighting, protecting allied aircraft, and seek-and-destroy operations. In addition to airborne foes, players will be tasked with bombing enemy ground targets with critical accuracy and precision timing. Mastering the use of maps and instruments, as well as the characteristics of each individual plane is sure to challenge gamers of all levels.",Mobile 21,Action,7.1,Good,GBA Xbox,19.99 USD,Konami,E for Everyone,Suggestive Themes,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508","September 25, 2002",http://gameboy.ign.com/articles/372/372153p1.html,AirForce Delta Storm
5.3,Mediocre,"Jimmy Neutron Boy Genius has gotten himself in a completely new world of trouble, or should we say ""new dimension of trouble?"" In The Adventures of Jimmy Neutron, Boy Genius: Jimmy Neutron Vs Jimmy Negatron, Jimmy accidentally warps himself into a parallel dimension, switching places with his evil alter ego -- Jimmy Negatron! With Jimmy Negatron running loose in Retroville, Jimmy Neutron will need all of his inventions and smarts to figure a way back home, save his friends, and restore his town back to normal!",HumanSoft,Action,6.0,Okay,GBA PC,36.99 USD,THQ,E for Everyone,Comic Mischief,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508","September 24, 2002",http://gameboy.ign.com/articles/375/375098p1.html,"The Adventures of Jimmy Neutron, Boy Genius: Jimmy Neutron vs. Jimmy Negatron"
7.1,Good,"An intense combat-action flying experience, Defender offers players the ultimate in next-generation action and strategy. Players defend and protect the human race from an alien invasion as they assume the controls of next-generation combat-ready Defender ships. Battling an onslaught of vicious aliens, players strategically pilot their ship through more than 14 treacherous missions spanning the solar system, executing dynamic tactical maneuvers such as barrel rolls, 360-degree loops and spinning reversals in order to evade the enemy.",7 Studios,Shooter,7.5,Good,PS2 2600 GBA Arcade 400/800 Coleco Xbox 360 Web Xbox GCN TI-99 Cell 5200,7.99 USD,Midway  Games,T for Teen,Realistic Violence,"http://www.ign.com/games/star-wars-battlefront-ii-2005/ps2-737697,http://www.ign.com/games/killzone/ps2-568333,http://www.ign.com/games/call-of-duty-finest-hour/ps2-550009,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","October 21, 2002",http://ps2.ign.com/articles/375/375127p1.html,Defender
8.9,Great,,Konami,RPG,9.4,Amazing,PS2 PS3,24.99 USD,Konami,T for Teen,Suggestive Themes,"http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/final-fantasy-x/ps2-14008,http://www.ign.com/games/final-fantasy-xii/ps2-488222,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","October 24, 2002",http://ps2.ign.com/articles/375/375125p1.html,Suikoden III
7.4,Good,"ToeJam and Big Earl are back and they're looking better than ever on the Microsoft Xbox. Follow ToeJam, Big Earl and their new friend, Latisha, as they recover the 12 sacred albums of Funk which were stolen from Lamont, the Great Funkopotamous. Get ready for non-stop action, rhythm, mini-games and the funkiest trio you'll ever see on the Microsoft Xbox. Are you funky enough?","ToeJam & Earl Productions (TJ&E), Visual Concepts",Platformer,6.3,Okay,Xbox DC,19.99 USD,SEGA,T for Teen,"Comic Mischief, Mild Language","http://www.ign.com/games/psychonauts/xbox-482075,http://www.ign.com/games/blinx-the-time-sweeper-139497/xbox-482070,http://www.ign.com/games/crash-bandicoot-the-wrath-of-cortex/xbox-17503,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526","October 22, 2002",http://xbox.ign.com/articles/375/375123p1.html,ToeJam & Earl III: Mission to Earth
