publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
THQ Wireless,Sports,Blue Heat,,Big League Baseball 2005,http://www.ign.com/games/big-league-baseball-2005/cell-742389,http://wireless.ign.com/articles/605/605000p1.html,,6.8,Cell,"Apr 15, 2005","http://www.ign.com/games/beijing-2008/cell-787986,http://www.ign.com/games/captain-tsubasa-nankatsu-vs-toho/cell-848854,http://www.ign.com/games/freestyle-moto-x-ii-142665/cell-826649,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",,,,,Okay
Hands-On Mobile (aka MFORMA),Sports,Gamevil,,CBS Sportsline.com Baseball 2005,http://www.ign.com/games/cbs-sportslinecom-baseball-2005-142896/cell-742387,http://wireless.ign.com/articles/604/604999p1.html,,7.9,Cell,"Apr 15, 2005","http://www.ign.com/games/beijing-2008/cell-787986,http://www.ign.com/games/captain-tsubasa-nankatsu-vs-toho/cell-848854,http://www.ign.com/games/freestyle-moto-x-ii-142665/cell-826649,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",,,,,Good
Midway  Games,Shooter,Epic Games,"Second installment in the Xbox spin-off series. No longer solely bound to the first-person perspective, players can switch to third-person mode for lethal melee attacks and defensive combos; including the devastating reflect move, which sends an incoming attack back to the sender with interest. Characters in the game are also be more mobile and agile. Each Unreal character uses their own personalized arsenal of jumping, flipping and spinning moves to help players make full use of the new environments. Unique Adrenaline combo-powers supercharge the strength and deadliness of character attacks and defenses, while cranking up character speed and mobility to superhuman levels. Play as Anubis in the single player campaign or fight through a tournament ladder as one of the many unlockable characters. Also features eight-player Xbox Live multiplayer modes.",Unreal Championship 2: The Liandri Conflict,http://www.ign.com/games/unreal-championship-2-the-liandri-conflict/xbox-666679,http://xbox.ign.com/articles/604/604567p1.html,14.99 USD,9.3,Xbox,"April 18, 2005","http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/doom-3/xbox-482119,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Great,8.7,"Blood and Gore, Intense Violence, Strong Language",M for Mature,Amazing
Gameloft,Simulation,Gameloft,,New York Nights: Success in the City,http://www.ign.com/games/new-york-nights-success-in-the-city/cell-723120,http://wireless.ign.com/articles/604/604915p1.html,,8.8,Cell iPhone,"Apr 15, 2005","http://www.ign.com/games/the-sims-3-ambitions/cell-64052,http://www.ign.com/games/the-sims-3-world-adventures/cell-23330,http://www.ign.com/games/townsmen-2004/cell-705542,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",Great,8.2,,,Great
"Warner Bros.  Interactive, SEGA","Persistent Online, RPG",Monolith Productions,"The Matrix Online is a MMOG where tens of thousands of players jack into the Matrix world at once to take an active role in continuing the saga of The Matrix movie trilogy. Developed by Monolith Productions in conjunction with the Wachowski Brothers, creators of The Matrix trilogy, the game aims to be a re-creation of the virtual world of the Matrix, employing cutting-edge 3-D graphics, networking and server technology. Gameplay in The Matrix Online is based on intricate and exciting ""wire-fu"" combat, an extensive mission structure, social interaction and a completely customizable skill and ability system. Enter this intense virtual world and become a warrior, information broker, hacker, or even AI sympathizer, participating in an epic struggle for the survival of humanity and machine alike.",The Matrix Online,http://www.ign.com/games/the-matrix-online/pc-482120,http://pc.ign.com/articles/604/604678p1.html,49.99 USD,7.6,PC,"March 22, 2005","http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.3,"Mild Language, Suggestive Themes, Violence",T for Teen,Good
Nintendo,Puzzle,Mitchell Corporation,"is a simple, stylish puzzle game designed to be played entirely with the Nintendo DS touch screen and a stylus. Use the stylus to draw a stroke, flipping black and white tiles to change and match their color. Three game modes and scores of puzzles will put your puzzle-solving abilities and stylus skills to the test. Challenge a friend to a duel over a wireless connection.",Polarium,http://www.ign.com/games/polarium/nds-707314,http://ds.ign.com/articles/604/604686p1.html,32.99 USD,7.8,NDS GBA Wii U,"April 18, 2005","http://www.ign.com/games/super-scribblenauts/nds-45898,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/nds-854922,http://www.ign.com/games/scribblenauts/nds-14304256,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Good,7.7,Suitable for Persons Ages Six and Older,E for Everyone,Good
Sony Computer Entertainment,Sports,989 Sports,"Welcome to the Show. 989 Sports' first portable baseball game features the all-new Branch Point Technology (BPT), which provides seamless fielding transitions and smooth base running.The all-new Playmaker Fielding Marker that brings together a players attributes with the a gamer's skill level in order to make the play, and the all-new Release Point Pitching with Confidence Meter, which helps determine a gamer's ability to hit spots in the strike zone. Supporting up to two players via wireless multiplayer connectivity, gamers can compete against the Artificial Intelligence (AI) or go head-to-head against another player.",MLB,http://www.ign.com/games/mlb/psp-668847,http://psp.ign.com/articles/604/604806p1.html,29.99 USD,8.0,PSP PS PS2,"April 14, 2005","http://www.ign.com/games/nba-2k13/psp-132081,http://www.ign.com/games/tony-hawks-underground-2/psp-682968,http://www.ign.com/games/nba-2k12/psp-111156,http://www.ign.com/games/final-fantasy-vii/psp-14340290,http://www.ign.com/games/final-fantasy-viii/psp-33571,http://www.ign.com/games/resident-evil-3-nemesis/psp-18950",Great,8.1,,E for Everyone,Great
Namco,Action,ITE - Interactive Television Entertainment,"In

, players embark on an adventure through 60 different game levels and three unique worlds in order to free main character Hugo who has been trapped in a mirror by the evil witch Scylla.  The game features three levels of difficulty, numerous power-ups, a unique ""monster system"" and strong puzzle elements involved in each level design.",Hugo: The Evil Mirror,http://www.ign.com/games/hugo-the-evil-mirror/gba-492566,http://gameboy.ign.com/articles/604/604133p1.html,16.99 USD,6.5,GBA PS GBC PC,"April 12, 2005","http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Okay,6.6,"Animated Violence, Mild Animated Violence",E for Everyone,Okay
Hip Interactive,Action,"Asobo Studio, Light and Shadow Productions","You belong to an elite force fighting against global counter-terrorism. Your team is made up of two crack agents poised to react to any threat. Stealth Owl is an infiltration expert, whose skills are accuracy and skydiving. Raptor uses weapons of mass destruction and favours close combat. Your main objective is to dismantle the NEMESIS network and retrieve the stolen technology. But by changing the chemical properties of certain proteins, the terrorists have made their fighters much more aggressive...",Special Forces: Nemesis Strike,http://www.ign.com/games/special-forces-nemesis-strike/pc-679423,http://pc.ign.com/articles/604/604131p1.html,19.99 USD,7.0,PC Xbox PS2,March 2005,"http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.6,"Blood, Violence",M for Mature,Good
Namco,"Third-Person, Action",Namco,"Dead to Rights II details the events before the first installment of the series, with beat cop Jack Slate and his K-9 cohort Shadow combing the squalid alleys of Grant City for clues about the abduction of an important city official. Before long, all hell breaks loose, and Jack and Shadow must take on a powerful mob in the fight of their lives to break the city's spiral of betrayal and corruption.",Dead to Rights II,http://www.ign.com/games/dead-to-rights-ii/ps2-610094,http://ps2.ign.com/articles/603/603787p1.html,14.99 USD,6.8,PS2 Xbox PC,"April 12, 2005","http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Okay,6.9,"Blood, Intense Violence, Sexual Themes, Strong Language",M for Mature,Okay
