publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
THQ,Platformer,Avalanche Software (USA),"Join Tak in an epic adventure, as he must learn all new Juju magic to recover the Staff of Dreams and defeat Tlaloc once and for all. Tak's role in the great Prophecy of the Pupanunu people isn't over. Rather, it's just begun! It's not easy being Jibolba's apprentice, and Tak's got the bruises to prove it. Now dabbling with new abilities, Tak is creating a little Juju magic of his own! He's even working on mastering the ancient Juju magic of animal-morphing. Between possessing, and turning different spirit animals, Tak's got a lot to learn. And he better do it fast because Tlaloc has begun his return with vengeance on his mind. Features include all-new characters including three brand new Juju gods, nine Nightmare creatures, and Jibolba's brother (JB), as well as nine brand new environments including the Woodlands, Mountains, River, Geo-Thermal Region, Mangrove Swamp, and the Dream World.",Tak 2: The Staff of Dreams,http://www.ign.com/games/tak-2-the-staff-of-dreams/ps2-678790,http://ps2.ign.com/articles/556/556324p1.html,19.99 USD,8.4,PS2 Xbox PS3 GBA GCN,"October 11, 2004","http://www.ign.com/games/ratchet-and-clank/ps2-481057,http://www.ign.com/games/jak-and-daxter-the-precursor-legacy/ps2-16447,http://www.ign.com/games/jak-ii/ps2-535876,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Great,8.0,Cartoon Violence,E for Everyone,Great
Global Star,"First-Person, Shooter",Vicious Cycle,"In the 21st century, humankind was freed from the confines of the solar system through the discovery of an alien technology known as Robotech. Contact with the stars also brought war with it the Invid, a race of parasitic aliens bent on conquering and transforming the Earth into their new home world. Now it's up to the battle-hardened survivors of Robotech Expedition to lead the way for one final attempt to liberate the Earth in Global Star Software's

! Experience single player and online multiplayer action for up to eight players across two parallel scenarios as you partake in freeform FPS action against enemies with sophisticated AI routines and attacks. Players can even control cyclone vehicles with realistic momentum or listen to an all-new original score from famous composer Jesper Kyd.",Robotech: Invasion,http://www.ign.com/games/robotech-invasion/ps2-567007,http://ps2.ign.com/articles/556/556306p1.html,19.99 USD,7.4,PS2 Xbox,"October 6, 2004","http://www.ign.com/games/star-wars-battlefront-ii-2005/ps2-737697,http://www.ign.com/games/killzone/ps2-568333,http://www.ign.com/games/call-of-duty-finest-hour/ps2-550009,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.2,"Blood, Mild Language, Violence",T for Teen,Good
THQ,Platformer,Avalanche Software (USA),"Join Tak in an epic adventure, as he must learn all new Juju magic to recover the Staff of Dreams and defeat Tlaloc once and for all. Tak's role in the great Prophecy of the Pupanunu people isn't over. Rather, it's just begun! It's not easy being Jibolba's apprentice, and Tak's got the bruises to prove it. Now dabbling with new abilities, Tak is creating a little Juju magic of his own! He's even working on mastering the ancient Juju magic of animal-morphing. Between possessing, and turning different spirit animals, Tak's got a lot to learn. And he better do it fast because Tlaloc has begun his return with vengeance on his mind. Features include all-new characters including three brand new Juju gods, nine Nightmare creatures, and Jibolba's brother (JB), as well as nine brand new environments including the Woodlands, Mountains, River, Geo-Thermal Region, Mangrove Swamp, and the Dream World.",Tak 2: The Staff of Dreams,http://www.ign.com/games/tak-2-the-staff-of-dreams/gcn-678793,http://cube.ign.com/articles/556/556305p1.html,19.99 USD,8.4,GCN Xbox PS2 PS3 GBA,"October 11, 2004","http://www.ign.com/games/super-mario-sunshine/gcn-16713,http://www.ign.com/games/sonic-adventure-2/gcn-16893,http://www.ign.com/games/wario-world/gcn-481529,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713",Great,8.1,Cartoon Violence,E for Everyone,Great
Global Star,"Third-Person, Action",Pivotal Games,"In a conflict that lasted 11 years and killed over 3 million people, four men are going to have the longest 28 days of their lives. Cut off behind enemy lines during the 1968 Tet Offensive with no way to contact help, four young, barely trained soldiers realize their only hope for survival is to head into the heart of darkness. With few rations and dwindling ammunition, the only thing that separates them from freedom is 100 miles of ruthless terrain, crawling with unseen enemies. They don't want to win any war, they just want to make it home alive. In the the third game in the Conflict series of squad action war games, players take on 14 enormous missions deep in the Vietnamese jungle, venture through small villages, into ruined temples, and down Viet Cong tunnel complexes. Upgrades include a new control scheme and fully deformable environments.",Conflict: Vietnam,http://www.ign.com/games/conflict-vietnam/xbox-487339,http://xbox.ign.com/articles/556/556439p1.html,29.99 USD,6.7,Xbox PS3 GCN PS2 PC Cell Giz,"October 5, 2004","http://www.ign.com/games/fable/xbox-16526,http://www.ign.com/games/grand-theft-auto-san-andreas/xbox-623715,http://www.ign.com/games/beyond-good-and-evil/xbox-482232,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Good,7.7,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",M for Mature,Okay
Microsoft,"Real-Time, Strategy","Phantagram, Blueside","Sequel to the Blizzard-style real-time strategy game, released for PC in 2001. The sequel, set 50 years after the peaceful ending of the first game, deals with a reformed Dark Legion that has just wiped out a human town that sits on the border of Orc and Dark Elf territory. The nearby human armies converge near the site of the demolished town to wage war against those responsible. The game features 200 unique fantasy characters made up of 300 polygons each (10,000 polys for heroes). Players can upgrade and customize troops with even more gear and weapons have to brave averse weather that affect battle tactics",Kingdom Under Fire: The Crusaders,http://www.ign.com/games/kingdom-under-fire-the-crusaders/xbox-16955,http://xbox.ign.com/articles/556/556132p1.html,19.99 USD,8.2,Xbox PC,"October 12, 2004","http://www.ign.com/games/gladius/xbox-481748,http://www.ign.com/games/full-spectrum-warrior/xbox-566987,http://www.ign.com/games/jurassic-park-operation-genesis/xbox-478176,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Great,8.2,"Blood, Violence",M for Mature,Great
Ubisoft,Adventure,Frogwares,"In May 1897 Sherlock Holmes accompanied by Dr. Watson comes to party organized at Sherringford Hall of Sir Melvyn Bromsby, construction tycoon. He barely started welcoming his guests, when suddenly, Sir Melvyn Bromsby falls on the floor, red spot is visible on his tuxedo right on his heart...Guest panic, Lavinia Bromsby run towards her dying father...Holmes decides to act quickly, not waiting for the police to come. Play as Sherlock Holmes and Dr. Watson and team up with other famous Conan Doyle characters for 25-30 hours of investigation in five graphically rich levels. Consider your discoveries and answer questions in a Sherlock Holmes' quiz at the end of each level. The game features 40 different 19th century London locations, more than 40 witnesses and three hours of dialogue.",Adventures of Sherlock Holmes: The Silver Earring,http://www.ign.com/games/adventures-of-sherlock-holmes-the-silver-earring/pc-664558,http://pc.ign.com/articles/556/556257p1.html,19.99 USD,8.3,PC Wii Cell,"September 30, 2004","http://www.ign.com/games/recore/pc-20047415,http://www.ign.com/games/life-is-strange-episode-4/pc-20031273,http://www.ign.com/games/the-walking-dead-the-game/pc-100880,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.5,"Mild Violence, Use of Alcohol",T for Teen,Great
Playmore,Fighting,SNK [1978-2001],"Classic-style 2D fighting game, presenting a a true mixture of SNK and Capcom game styles without the ""grooves"" in the earlier collaborations. Instead of carrying over airblocking and rolling through attacks from previous games, the developers implemented a new tactic called Guard Cancels. This maneuver enables players to perform various actions while blocking attacks. The game features 24 different playable characters, as well as some surprises: Capcom fighters Ryu, Ken, Guile, Chun-Li, Dhalsim, Hugo, Tabasa, M. Bison, Sagat, Vega, Balrog, Akuma and Tabasa, as well as SNK's Kyo Kunsanagi, Iori Yagami, Terry Bogard, Mai Shiranui, Choi Bounge, Kim Kaphwan, Mr. Karate, Earthquake, Genjuro Kibagami, Shiki, Kasumi Todo and Ryo Sakazaki.",SNK vs. Capcom: SVC Chaos,http://www.ign.com/games/snk-vs-capcom-svc-chaos/xbox-546478,http://xbox.ign.com/articles/555/555707p1.html,29.99 USD,6.0,Xbox Arcade PS2 NG,"October 7, 2004","http://www.ign.com/games/mortal-kombat-shaolin-monks/xbox-709116,http://www.ign.com/games/mortal-kombat-armageddon/xbox-794353,http://www.ign.com/games/marvel-nemesis-rise-of-the-imperfects/xbox-681937,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Good,7.3,"Blood, Comic Mischief, Violence",T for Teen,Okay
Disney Internet Group,Action,Lavastorm Engineering,,The Incredibles (Arcade),http://www.ign.com/games/the-incredibles-arcade/cell-707827,http://wireless.ign.com/articles/555/555649p1.html,,6.9,Cell,"Oct 1, 2004","http://www.ign.com/games/just-cause-2/cell-14280725,http://www.ign.com/games/rayman/cell-567023,http://www.ign.com/games/galaxy-on-fire-2/cell-14270785,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",,,,,Okay
Electronic Arts,Sports,Electronic Arts,"Great soccer players need a great first touch -- and the same is now true for gamers with FIFA Soccer 2005. Using an all-new fluid player kinetic system, a player's first touch becomes a key advantage for players who can think quickly and act fast to outsmart the competition. An all-new animation system reacts to every button press with authentic responsiveness, directly translating to the speed and vision of the world's greatest players. With more than 350 official team and league licenses from around the world, more than 12,000 officially licensed players, an enhanced Career Mode, and EA SPORTS Online play (PlayStation 2 console only), FIFA Soccer 2005 is billed as the only complete, authentic, and intelligent soccer experience.",FIFA Soccer 2005,http://www.ign.com/games/fifa-soccer/gcn-681797,http://cube.ign.com/articles/555/555916p1.html,29.99 USD,8.6,GCN PS Cell Giz PSP Xbox PC GBA NNG PS2,"October 12, 2004","http://www.ign.com/games/bmx-xxx/gcn-17510,http://www.ign.com/games/mario-superstar-baseball/gcn-716495,http://www.ign.com/games/madden-nfl-2006/gcn-698630,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713",Great,8.5,Suitable for Persons Ages Six and Older,E for Everyone,Great
Ubisoft,Party,Sony Computer Entertainment,"Ditching the platforming/puzzle styles of previous titles, this outing for the series' characters is a multiplayer battle game called Saru Batouru (a pun on Saru Battle = ""Monkey Battle,"" or as we've coined it in English, ""Ape Escape Battle""). Saru Battle consists of a number of battle games designed for play by up to four players simultaneously. Over fifty games are included, spanning a huge range, including racing, platform and arena-style games. For some games, the screen splits in four allowing each player to have his own view. Other games place all players on the same screen. Piposaru, the monkey that you always see associated with Ape Escape also, for the first time in an Ape Escape game, appears as a playable character. It's even possible to select the ""Ape Team,"" which consists of a group of Piposaru characters working together.",Ape Escape: Pumped & Primed,http://www.ign.com/games/ape-escape-pumped-primed/ps2-620962,http://ps2.ign.com/articles/558/558877p1.html,19.99 USD,6.3,PS2,"October 19, 2004","http://www.ign.com/games/spongebob-squarepants-featuring-nicktoons-globs-of-doom/ps2-14256560,http://www.ign.com/games/eyetoy-play/ps2-570957,http://www.ign.com/games/spongebob-squarepants-lights-camera-pants/ps2-727054,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.4,Mild Violence,T for Teen,Okay
