publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
Atari,Action,zSlide,"Bringing fast and furious bite-size gaming to PSP system, HOT PXL comprises more than 200 deviously crafted mini-games based on a unique and original story premise that draws inspiration from street culture and the digital lifestyle. In Hot PXL the player is charged with guiding the central character, a skateboarder named Djon, through an extraordinary and colorful journey in a pixellated world. The world of Hot PXL features fast-paced and varied mini-games ranging from eccentrically outrageous to cool and clever, dipping into Atari's rich video game history for inspiration along the way.  The rapid gameplay requires players to draw on their reflexes and 2D gaming prowess to get through hundreds of inspired scenarios – whether it's blasting through an old-school style video game, busting tricks on a skateboard or a BMX, stage-diving at a concert, or just trying to cross a busy digital street.",Hot PXL,http://www.ign.com/games/hot-pxl/psp-824985,http://psp.ign.com/articles/824/824915p1.html,29.99 USD,4.9,PSP,"October 2, 2007","http://www.ign.com/games/resident-evil-3-nemesis/psp-18950,http://www.ign.com/games/metal-gear-solid-peace-walker/psp-71143,http://www.ign.com/games/metal-gear-solid-peace-walker/psp-965242,http://www.ign.com/games/final-fantasy-vii/psp-14340290,http://www.ign.com/games/final-fantasy-viii/psp-33571,http://www.ign.com/games/resident-evil-3-nemesis/psp-18950",Okay,6.5,"Alcohol Reference, Blood and Gore, Cartoon Violence, Crude Humor, Mild Language, Suggestive Themes",T for Teen,Bad
Takara,Fighting,SNK [1978-2001],"The diabolical Geese Howard has overthrown Southtown City, and has created anarchy and chaos throughout the once-peaceful place. Now, it's up to you to defeat Howard and restore Southtown to what it once was. Playing as one of three unique characters Joe Higashi, Terry Bogard, or Andy Bogard you must enter the King of Fighters Tournament and emerge victorious in order to bring home the Championship and defeat Geese. There are dozens of special moves to master and eight distinct locations to fight in, meaning you're going to have your hands full. You can enter the arena in two different fighting modes Championship or Street Battle and you can take on the computer-controlled opponents or a friend in head-to-head, no holds barred combat. Only you can release Southtown City from the grasp of an evil dictator.",Fatal Fury,http://www.ign.com/games/fatal-fury/ng-7882,http://retro.ign.com/articles/879/879425p1.html,,7.0,NG SNES Cell PS4 Switch Xbox One Arcade PSP PS3 NGCD Gen Wii,February 1991,"http://www.ign.com/games/king-of-fighters-99/ng-12721,http://www.ign.com/games/last-blade-2-heart-of-the-samurai/ng-10985,http://www.ign.com/games/samurai-shodown-ii/ng-5903,http://www.ign.com/games/king-of-fighters-99/ng-12721,http://www.ign.com/games/last-blade-2-heart-of-the-samurai/ng-10985,http://www.ign.com/games/samurai-shodown-ii/ng-5903",Good,7.3,Violence,T for Teen,Good
Activision,Action,Next Level Games,"Inspired by the Spider-Man film trilogy and the classic Spider-Man comics, Spider-Man: Friend or Foe challenges players to defeat and then join forces with notorious movie nemeses including Doc Ock, Green Goblin, Venom and Sandman, and embark on an epic quest to overcome a worldwide evil threat.  Throughout the game's original story and thrilling battles, fans control Spider-Man and one of numerous Super Hero or Super Villain sidekicks and master unique fighting moves and styles while switching between characters to execute team combos and defeat foes.",Spider-Man: Friend or Foe,http://www.ign.com/games/spider-man-friend-or-foe/wii-864875,http://wii.ign.com/articles/825/825632p1.html,49.99 USD,4.9,Wii NDS PC Xbox 360 PS2 PSP,"October 2, 2007","http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155,http://www.ign.com/games/the-legend-of-zelda-twilight-princess/wii-748589,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Good,7.4,Cartoon Violence,E10+ for Everyone 10 and older,Bad
2K Sports,Sports,Konami,"MLB Power Pros delivers an original visual style to America's favorite pastime.  Every MLB player are represented in the Power Pro character style - a miniature toy-like figurine model.  Gamers will recognize their favorite baseball stars through comic usage of facial expressions, facial hair, and hair styles.  Every MLB ballpark has been faithfully replicated with their respective famous landmarks, bringing astounding authenticity to every game.  This visual combination is certain to delight baseball fans of all ages.",MLB Power Pros,http://www.ign.com/games/mlb-power-pros/ps2-954669,http://ps2.ign.com/articles/845/845671p1.html,29.99 USD,8.4,PS2 Wii,"October 2, 2007","http://www.ign.com/games/madden-nfl-2001/ps2-14286,http://www.ign.com/games/tony-hawks-underground/ps2-545800,http://www.ign.com/games/tony-hawks-pro-skater-4/ps2-482065,http://www.ign.com/games/amplitude/ps2-17285,http://www.ign.com/games/mortal-kombat-shaolin-monks/ps2-709115,http://www.ign.com/games/atari-racing-collection/ps2-483265,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Great,8.7,,E for Everyone,Great
Sony Computer Entertainment,Adventure,Game Republic (JP),"An action/adventure game by Kouji Okada (the father of the Shin Megami Tensei series) that takes you through seven mysterious and yet Earth-like worlds. The game features two main characters. Ellen, a troubled young woman searching for answers to her past, receives a letter from her mom: a person who died when she was a child. The letter says ""I want to meet you,"" and suggests that Ellen go to the town of Doolin. There, she meets Keats, a journalist who handles the occult corner of a magazine. He receives a phone call from an unknown girl asking for help. When he gets to Doolin, he finds that the girl has already been killed, and decides to start up an investigation.",Folklore,http://www.ign.com/games/folklore/ps3-826967,http://ps3.ign.com/articles/824/824614p1.html,59.99 USD,9.0,PS3,"October 9, 2007","http://www.ign.com/games/life-is-strange-episode-4/ps3-20031274,http://www.ign.com/games/the-walking-dead-the-game/ps3-100887,http://www.ign.com/games/life-is-strange-episode-5/ps3-20031280,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419",Great,8.4,"Alcohol Reference, Blood, Fantasy Violence, Mild Language, Mild Suggestive Themes",T for Teen,Amazing
2K Sports,Sports,"Visual Concepts, Kush Games","The king of the hard court is back and better than ever with the all-new Sprite Slam Dunk Contest, all-new defensive controls, improved Signature Style technology, and more.",NBA 2K8,http://www.ign.com/games/nba-2k8/xbox-360-866314,http://xbox360.ign.com/articles/824/824534p1.html,59.99 USD,7.9,Xbox 360 PS3 PS2,"October 2, 2007","http://www.ign.com/games/madden-nfl-2013/xbox-360-128097,http://www.ign.com/games/nba-2k17/xbox-360-20052299,http://www.ign.com/games/2014-fifa-world-cup/xbox-360-20012689,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563",Great,8.5,,E for Everyone,Good
Electronic Arts,Sports,EA Canada,"When the game is on the line and the ball is in your hands, what will you do? Will you penetrate, drive the lane and rise above the rim for a monster dunk, or find an opening on the perimeter and sink a game-winning three? Take control of the game with a full arsenal to win the one-on-one match-up from every spot on the floor with NBA Live 08.

Taking a page out of NBA STREET Homecourt's book, NBA Live 08 introduces Quickstrike Ballhandling. This intuitive gameplay mechanic is mapped to the right analog stick and gives you the direct responsiveness you need to perform a full repertoire of ankle-breaking ball-handling moves that let you dominate on the perimeter. Pass the ball inside and win in the post with all-new 'own the paint' post play for the big men down low. Use the new shot-countershot control to string together combos of fakes and shots to fool your defender into committing and create space for the game-defining bucket. On the perimeter, in the paint, and with complete authenticity to the sport of basketball, dominate with your go-to move with NBA LIVE 08.",NBA Live 08,http://www.ign.com/games/nba-live-2008/xbox-360-900780,http://xbox360.ign.com/articles/824/824435p1.html,59.99 USD,6.9,Xbox 360 Wii PS3 Cell PC PS2 PSP,"October 2, 2007","http://www.ign.com/games/madden-nfl-2013/xbox-360-128097,http://www.ign.com/games/nba-2k17/xbox-360-20052299,http://www.ign.com/games/2014-fifa-world-cup/xbox-360-20012689,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563",Good,7.4,,E for Everyone,Okay
Sony Computer Entertainment,"Third-Person, Shooter",Bend Studio,"Gabe Logan makes a dramatic return in Syphon Filter: Logan's Shadow. The sequel to the award winning action title, Syphon Filter: Dark Mirror and features all-new combat mechanics, weapons and an engaging storyline that will leave you wondering who to trust.

In an all new story, written by Greg Rucka, Syphon Filter: Logan's Shadow provides a sophisticated and gripping storyline that is sure to resonate with comic book lovers and action enthusiasts. We find Gabe Logan once again using a combination of stealth and ""run-and-gun"" gameplay as he is called into action when a dangerous new technology is hijacked by a criminal extremist group. In a story that takes him from the depths of the Indian Ocean to the deserts of the Middle East, Gabe is faced with the possibility that his long time partner, Lian Xing is a double agent.",Syphon Filter: Logan's Shadow,http://www.ign.com/games/syphon-filter-logans-shadow/psp-907107,http://psp.ign.com/articles/824/824570p1.html,29.99 USD,9.5,PSP PS2,"October 2, 2007","http://www.ign.com/games/resistance-retribution/psp-14267012,http://www.ign.com/games/tom-clancys-ghost-recon-predator/psp-61124,http://www.ign.com/games/star-wars-battlefront-renegade-squadron/psp-905515,http://www.ign.com/games/final-fantasy-vii/psp-14340290,http://www.ign.com/games/final-fantasy-viii/psp-33571,http://www.ign.com/games/resident-evil-3-nemesis/psp-18950",Great,8.8,"Language, Violence",T for Teen,Amazing
Activision,Action,,"I SPY Fun House builds on Scholastic Media's popular I SPY franchise with brain-teasing riddles and fast-paced games played exclusively using the Nintendo DS stylus and touch screen. Animal Genius will appeal to players of all ages who are passionate about animals. Featuring stunning, photo-realistic imagery of animals in their natural habitat, the game will challenge the players' knowledge about where animals live, how they behave and what makes them unique.",I Spy: Fun House,http://www.ign.com/games/i-spy-fun-house/nds-907931,http://ds.ign.com/articles/824/824439p1.html,29.99 USD,5.0,NDS PC Mac,"August 27, 2007","http://www.ign.com/games/the-legend-of-zelda-phantom-hourglass/nds-694756,http://www.ign.com/games/the-legend-of-zelda-spirit-tracks/nds-14333936,http://www.ign.com/games/kingdom-hearts-3582-days/nds-964462,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Good,7.2,No Descriptors,E for Everyone,Mediocre
2K Sports,Sports,"Visual Concepts, Kush Games","The king of the hard court is back and better than ever with the all-new Sprite Slam Dunk Contest, all-new defensive controls, improved Signature Style technology, and more.",NBA 2K8,http://www.ign.com/games/nba-2k8/ps3-866307,http://ps3.ign.com/articles/824/824560p1.html,59.99 USD,7.9,PS3 Xbox 360 PS2,"October 2, 2007","http://www.ign.com/games/madden-nfl-2013/ps3-128098,http://www.ign.com/games/nba-2k17/ps3-20052297,http://www.ign.com/games/fifa-2013/ps3-115679,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419",Great,8.2,No Descriptors,E for Everyone,Good
