community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
9.0,Amazing,"In LittleBigPlanet for PlayStation Vita, join Sackboy on a completely new adventure, filled with exploration and competition. The travelling planet of Carnivalia is a jam-packed playground where an Evil Puppeteer has brought doom and gloom. Can you unravel the mystery and restore this troubled planet to it's former glory?

Customize Sackboy and the world around you with unique touch and camera Create tools that let you Play with more freedom that ever before.  Then discover an endless amount of free games, created and Shared by fans online.  LittleBigPlanet for PS Vita is a miniature development kit in the palm of your hand that will allow players to Create a multitude of different experiences—the possibilities are truly endless!","Tarsier Studios, Double Eleven Studios",Platformer,9.0,Amazing,Vita,,Sony Computer Entertainment,E for Everyone,Mild Cartoon Violence,"http://www.ign.com/games/shovel-knight/vita-20028725,http://www.ign.com/games/limbo/vita-163486,http://www.ign.com/games/rayman-legends/vita-171646,http://www.ign.com/games/borderlands-2/vita-20004181,http://www.ign.com/games/ys-celceta-sea-of-trees/vita-103951,http://www.ign.com/games/call-of-duty-black-ops-declassified/vita-98928","September 25, 2012",http://www.ign.com/articles/2012/09/12/littlebigplanet-ps-vita-review,LittleBigPlanet PS Vita,http://www.ign.com/games/littlebigplanet-vita/vita-98907
10,Masterpiece,"LittleBigPlanet PS Vita -- Marvel Super Hero Edition features the acclaimed original LittleBigPlanet PS Vita game as well as a load of additional Marvel content. Included for Marvel fans are three exciting mini-games, starring some of the most popular Marvel Super Heroes, as well as a wardrobe filled with new costumes you can use when dressing your Sackboy or Sackgirl.

In LittleBigPlanet for PlayStation Vita, join Sackboy on a completely new adventure, filled with exploration and competition.  The travelling planet of Carnivalia is a jam-packed playground where an Evil Puppeteer has brought doom and gloom. Can you unravel the mystery and restore this troubled planet to it's former glory? Customize Sackboy and the world around you with unique touch and camera Create tools that let you Play with more freedom that ever before.  Then discover an endless amount of free games, created and Shared by fans online.  LittleBigPlanet for PS Vita is a miniature development kit in the palm of your hand that will allow players to Create a multitude of different experiences—the possibilities are truly endless!

The Marvel mini-games in LittleBigPlanet PS Vita -- Marvel Super Hero Edition feature some of the most popular Marvel heroes, Avengers: Ultimate Escape, S.H.I.E.L.D Interceptor and Hero Rush. There are loads of stages to complete and tons of replayability, perfect for bite-sized entertainment on your PS Vita. In addition, you get 18 Marvel character costumes plus loads of stickers, decorations, effects and objects to craft your own super hero adventures.","Tarsier Studios, Double Eleven Studios",Platformer,9.0,Amazing,Vita,,Sony Computer Entertainment,E for Everyone,"Mild Cartoon Violence, Includes online features that may expose players to unrated user-generated content","http://www.ign.com/games/shovel-knight/vita-20028725,http://www.ign.com/games/limbo/vita-163486,http://www.ign.com/games/rayman-legends/vita-171646,http://www.ign.com/games/borderlands-2/vita-20004181,http://www.ign.com/games/ys-celceta-sea-of-trees/vita-103951,http://www.ign.com/games/call-of-duty-black-ops-declassified/vita-98928",November 2014,http://www.ign.com/articles/2012/09/12/littlebigplanet-ps-vita-review,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,http://www.ign.com/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059
7.4,Good,"Splice is an experimental and artistic puzzler. Immerse yourself in its microbial world and start splicing! Every level (""strand"") consists of a number of cells that you will need to rearrange into a target structure in several moves (""splices""). Exploration and experimentation are key in determining how the curious little cells react to each other. Predict the sequence of splices you'll have to make in order to successfully arrange each strand. Re-sequence, mutate, and splice your way through this unique puzzle experience, and you'll exercise your ability to visualize sequential series of shapes over time. Solve your way to the final strands and you'll be left with a heady sense of mental accomplishment!",,Puzzle,8.5,Great,iPad Linux PS3 PS4 Mac PC Android,3.99 USD,Cipher Prime,E for Everyone,No Descriptors,"http://www.ign.com/games/the-witness/ipad-23514,http://www.ign.com/games/plants-vs-zombies/ipad-28239,http://www.ign.com/games/world-of-goo/ipad-38020,http://www.ign.com/games/the-witness/ipad-23514,http://www.ign.com/games/the-walking-dead-the-game/ipad-100886,http://www.ign.com/games/hearthstone-heroes-of-warcraft/ipad-163238","August 30, 2012",http://www.ign.com/articles/2012/09/12/splice-tree-of-life-review,Splice: Tree of Life,http://www.ign.com/games/splice/ipad-141070
8.5,Great,"EA Sports NHL 13 delivers an innovative new gameplay experience, accurately capturing the speed, creativity and strategy of today's NHL action. Promising some of the biggest changes to the franchise since the introduction of the Skill Stick in NHL 07, NHL 13 breaks away with new True Performance Skating. Driven by real-world physics and more than 1,000 new gameplay animations, NHL 13's True Performance Skating authentically replicates the explosiveness, momentum, and top-end speed of NHL players. Supported by an innovative new A.I. system dubbed EA Sports Hockey I.Q., the game delivers a completely revamped gameplay experience true to what gamers see on the ice during real games. In addition, NHL 13 delivers new experiences that connect hockey fans to their friends and the real world of hockey with the all-new GM Connected and NHL Moments Live modes.",EA Canada,Sports,8.5,Great,Xbox 360 PS3,,Electronic Arts,E10+ for Everyone 10 and older,Mild Violence,"http://www.ign.com/games/madden-nfl-2013/xbox-360-128097,http://www.ign.com/games/nba-2k17/xbox-360-20052299,http://www.ign.com/games/2014-fifa-world-cup/xbox-360-20012689,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563","September 11, 2012",http://www.ign.com/articles/2012/09/11/nhl-13-review,NHL 13,http://www.ign.com/games/nhl-13/xbox-360-128182
8.1,Great,"EA Sports NHL 13 delivers an innovative new gameplay experience, accurately capturing the speed, creativity and strategy of today's NHL action. Promising some of the biggest changes to the franchise since the introduction of the Skill Stick in NHL 07, NHL 13 breaks away with new True Performance Skating. Driven by real-world physics and more than 1,000 new gameplay animations, NHL 13's True Performance Skating authentically replicates the explosiveness, momentum, and top-end speed of NHL players. Supported by an innovative new A.I. system dubbed EA Sports Hockey I.Q., the game delivers a completely revamped gameplay experience true to what gamers see on the ice during real games. In addition, NHL 13 delivers new experiences that connect hockey fans to their friends and the real world of hockey with the all-new GM Connected and NHL Moments Live modes.",EA Canada,Sports,8.5,Great,PS3 Xbox 360,,Electronic Arts,E10+ for Everyone 10 and older,Mild Violence,"http://www.ign.com/games/madden-nfl-2013/ps3-128098,http://www.ign.com/games/nba-2k17/ps3-20052297,http://www.ign.com/games/fifa-2013/ps3-115679,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419","September 11, 2012",http://www.ign.com/articles/2012/09/11/nhl-13-review,NHL 13,http://www.ign.com/games/nhl-13/ps3-128181
7.0,Good,"The award-winning strategy game series is brought to gamers in a whole new way with Total War Battles: Shogun, a game that delivers quick-fire, tactical combat balanced with strategic building and unit management. All set in a beautifully illustrated Medieval Japan. Lead your clan to battle through more than 10 hours of story-driven campaign set in the world of Total War. Deploy and manage your bases to generate resources and recruit units including samurai, archers, ninjas and cavalry. Each victory awards XP to spend on building and troop upgrades that will make a decisive difference to your future battles. Play through six standalone battles in Normal, Hard or Shogun difficulty. Compete against other players on the leaderboards and unlock new Skirmish achievements.

The PC version of Total War Battles: Shogun has been enhanced over the original mobile release with enhanced visuals (such as anti-aliasing, improved shadows and additional lighting effects,) plus a broader overview of mission-maps, all the better to plan your genius strategies.",Creative Assembly,"Real-Time, Strategy",7.0,Good,Mac iPhone Android PC,7.99 USD,SEGA,,,"http://www.ign.com/games/prison-architect/mac-145353,http://www.ign.com/games/xcom-2/mac-20038028,http://www.ign.com/games/warhammer-40k-dawn-of-war-3/mac-20069059,http://www.ign.com/games/divinity-original-sin-enhanced-edition/mac-20037340,http://www.ign.com/games/divinity-original-sin/mac-135173,http://www.ign.com/games/elder-scrolls-online/mac-133733","August 29, 2012",http://www.ign.com/articles/2012/09/11/total-war-battles-shogun-review,Total War Battles: Shogun,http://www.ign.com/games/total-war-battles-shogun/mac-142565
7.6,Good,"Fight as twin brothers Billy and Jimmy Lee on an exciting adventure to save their shared love interest, Marian from the evil Skullmageddon across 16 brawling levels filled with elaborate missions, malicious enemies and over-the-top battles.

Double Dragon: Neon is the reinvigorated update to the 80's beat'em up smash hit that is reminiscent to the original.  Trained by their sensei in the special form of martial arts called Sōsetsuken, Billy and Jimmy are equipped with lethal combat skills and weaponry to bust some faces and battle the baddest goons around as they journey across the galaxy to rescue the love of their lives.",WayForward Technologies,Fighting,3.0,Awful,Xbox 360 PS3 PC,10 USD,Majesco,T for Teen,"Fantasy Violence, Partial Nudity, Suggestive Themes","http://www.ign.com/games/dragon-ball-xenoverse/xbox-360-20018803,http://www.ign.com/games/dead-or-alive-5/xbox-360-866449,http://www.ign.com/games/tekken-tag-tournament-2/xbox-360-124581,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563","September 12, 2012",http://www.ign.com/articles/2012/09/11/double-dragon-neon-review,Double Dragon: Neon,http://www.ign.com/games/double-dragon-neon/xbox-360-131320
8.9,Great,"For generations, war and chaos raged across the land of Tyria. Five great races competed and warred against each other, struggling to tip the balance of power in their favor.

Then the dragons woke.

The all-powerful beasts stirred from their millennial sleep under earth and sea. With their magical breath the dragons spread destruction and created legions of twisted slaves. A deathless dragon named Zhaitan raised the sunken nation of Orr, triggering earthquakes and tidal waves that destroyed entire cities across the Sea of Sorrows. Zhaitan's undead armies surged from the sea, hungry for the destruction of the five races of Tyria: the charr, a ferocious race of feline warriors; the asura, magical inventors of small size and great intellect; the norn, towering shapeshifters from the frigid northern lands; the sylvari, a mysterious young race of visionary plant folk; and the humans, an embattled but resilient people.

Now heroes from the five races must set aside ancient rivalries and stand together against their common enemies in the sequel to the hit MMO Guild Wars. Magic, technology, and cold steel will determine the ultimate fate of the world.",ArenaNet,"Persistent Online, RPG",9.0,Amazing,PC Mac,,NCsoft,T for Teen,"Blood, Mild Language, Use of Alcohol, Violence","http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","August 28, 2012",http://www.ign.com/articles/2012/09/11/guild-wars-2-review,Guild Wars 2,http://www.ign.com/games/guild-wars-2/pc-896298
6.7,Okay,"Fight as twin brothers Billy and Jimmy Lee on an exciting adventure to save their shared love interest, Marian from the evil Skullmageddon across 16 brawling levels filled with elaborate missions, malicious enemies and over-the-top battles.

Double Dragon: Neon is the reinvigorated update to the 80's beat'em up smash hit that is reminiscent to the original.  Trained by their sensei in the special form of martial arts called Sōsetsuken, Billy and Jimmy are equipped with lethal combat skills and weaponry to bust some faces and battle the baddest goons around as they journey across the galaxy to rescue the love of their lives.",WayForward Technologies,Fighting,3.0,Awful,PS3 Xbox 360 PC,9.99 USD,Majesco,T for Teen,"Fantasy Violence, Partial Nudity, Suggestive Themes","http://www.ign.com/games/dragon-ball-xenoverse/ps3-20018802,http://www.ign.com/games/tekken-tag-tournament-2/ps3-124584,http://www.ign.com/games/persona-4-arena/ps3-116910,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419","September 11, 2012",http://www.ign.com/articles/2012/09/11/double-dragon-neon-review,Double Dragon: Neon,http://www.ign.com/games/double-dragon-neon/ps3-131321
7.7,Good,"The award-winning strategy game series is brought to gamers in a whole new way with Total War Battles: Shogun, a game that delivers quick-fire, tactical combat balanced with strategic building and unit management. All set in a beautifully illustrated Medieval Japan. Lead your clan to battle through more than 10 hours of story-driven campaign set in the world of Total War. Deploy and manage your bases to generate resources and recruit units including samurai, archers, ninjas and cavalry. Each victory awards XP to spend on building and troop upgrades that will make a decisive difference to your future battles. Play through six standalone battles in Normal, Hard or Shogun difficulty. Compete against other players on the leaderboards and unlock new Skirmish achievements.

The PC version of Total War Battles: Shogun has been enhanced over the original mobile release with enhanced visuals (such as anti-aliasing, improved shadows and additional lighting effects,) plus a broader overview of mission-maps, all the better to plan your genius strategies.",Creative Assembly,"Real-Time, Strategy",7.0,Good,PC iPhone Mac Android,7.99 USD,SEGA,,,"http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","August 29, 2012",http://www.ign.com/articles/2012/09/11/total-war-battles-shogun-review,Total War Battles: Shogun,http://www.ign.com/games/total-war-battles-shogun/pc-142564
