publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
Infogrames,Action,Infogrames Sheffield House,"With image rendering in classic cartoon styling, voice acting by Hollywood personalities and appearances of many of the favorite Superman characters, Shadow of Apokolips promises to be a familiar delight to all types of players.  Gameplay includes puzzles, tests of strength, civilian rescues, and even a level as Clark Kent.  As Superman, you'll get to demolish an army on Inter-bots, then dish out the punishment on classic supervillains like Lex Luthor and Livewire. Gameplay is estimated at 12-15 hours.",Superman: Shadow of Apokolips,http://www.ign.com/games/superman-countdown-to-apokolips/ps2-16608,http://ps2.ign.com/articles/372/372273p1.html,17.99 USD,7.0,PS2 GBA GCN,"September 24, 2002","http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.2,Animated Violence,E for Everyone,Good
Sierra,Action,Inevitable Entertainment,"Tribes: Aerial Assault brings the fast and furious action of Sierra's ultra popular team-based online action game to Sony's PS2. It features a whole new game engine designed specifically for the PS2 version and offers everything you'd expect from a Tribes title including vehicular combat, team-based combat, various gameplay modes (Capture the Flag, Hunter, Deathmatch, Team Deathmatch, and Capture & Hold) along with a robust single player campaign, split screen multiplayer and online play via Sony's PS2 broadband adapter.",Tribes: Aerial Assault,http://www.ign.com/games/tribes-aerial-assault/ps2-16374,http://ps2.ign.com/articles/372/372276p1.html,19.99 USD,7.2,PS2,"September 24, 2002","http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.6,Realistic Violence,T for Teen,Good
Capcom,Action,Capcom,"For fans of Sega Genesis never was there a game more widely hailed as Ghouls 'n Ghosts. Capcom brings that old school action to Game Boy Advance with Super Ghouls 'n Ghosts. Once again taking on the role of Arthur, players must venture through the dark and gloomy land in the hopes of freeing the princess and defeating the evil Loki. Much like its Genesis predecessor, Super Ghouls & Ghosts will insane armor transformations, a wide variety of weapons and stunning 2D visuals.",Super Ghouls 'N Ghosts,http://www.ign.com/games/super-ghouls-n-ghosts/gba-481396,http://gameboy.ign.com/articles/372/372289p1.html,19.99 USD,8.5,GBA Wii U Wii SNES New 3DS,"September 25, 2002","http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Great,8.5,Mild Violence,E for Everyone,Great
Ubisoft,"First-Person, Shooter",Red Storm Entertainment,"Cautiously, you creep through the jungle, the hostile compound spreading out before you. Silently, you signal actions to your teams. Alpha slowly crawls downhill while Bravo sets up support. Your sniper moves to a secure location, searching for hostiles. Suddenly, tracers light up the ground in front of you. You've been spotted. Analyzing the situation, you instruct one team to flank the enemy group while the other lays down suppressive fire. After clearing the compound, you grab the package, check for wounded, and then make your way to the next objective -- ghost-like. Expansion pack release featuring eight new single player missions and five multiplayer maps.",Tom Clancy's Ghost Recon: Island Thunder,http://www.ign.com/games/tom-clancys-ghost-recon-island-thunder/pc-489020,http://pc.ign.com/articles/372/372169p1.html,7.99 USD,8.4,PC Xbox,"Sep 25, 2002","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Great,8.5,"Blood and Gore, Violence",M for Mature,Great
Kemco,Puzzle,HotGen Studios,"Freshly hatched gamers and hardboiled puzzle fanatics alike will crack under the extreme pressure of this innovative and highly addictive arcade-style puzzler! Developed exclusively for next-generation platforms, Egg Mania Eggstreme Madness is a puzzle gourmet's feast rich in numerous modes of play, served up with animated egg characters and seasoned with a delightful array of hidden surprises.",Egg Mania: Eggstreme Madness,http://www.ign.com/games/egg-mania/ps2-482693,http://ps2.ign.com/articles/372/372142p1.html,9.99 USD,6.3,PS2 GCN GBA Xbox,"September 19, 2002","http://www.ign.com/games/aqua-aqua/ps2-14413,http://www.ign.com/games/super-bust-a-move/ps2-15284,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/ps2-950644,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Okay,6.4,,E for Everyone,Okay
Konami,Action,Mobile 21,"Featuring both classic and modern military aircraft, Airforce Delta Storm enables players to unlock up to 9 different fighters as they progress through the game. Twenty thrilling missions include aerial dog fighting, protecting allied aircraft, and seek-and-destroy operations. In addition to airborne foes, players will be tasked with bombing enemy ground targets with critical accuracy and precision timing. Mastering the use of maps and instruments, as well as the characteristics of each individual plane is sure to challenge gamers of all levels.",AirForce Delta Storm,http://www.ign.com/games/airforce-delta-storm/gba-482103,http://gameboy.ign.com/articles/372/372153p1.html,19.99 USD,7.1,GBA Xbox,"September 25, 2002","http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Good,7.3,Suggestive Themes,E for Everyone,Good
THQ,Action,HumanSoft,"Jimmy Neutron Boy Genius has gotten himself in a completely new world of trouble, or should we say ""new dimension of trouble?"" In The Adventures of Jimmy Neutron, Boy Genius: Jimmy Neutron Vs Jimmy Negatron, Jimmy accidentally warps himself into a parallel dimension, switching places with his evil alter ego -- Jimmy Negatron! With Jimmy Negatron running loose in Retroville, Jimmy Neutron will need all of his inventions and smarts to figure a way back home, save his friends, and restore his town back to normal!","The Adventures of Jimmy Neutron, Boy Genius: Jimmy Neutron vs. Jimmy Negatron",http://www.ign.com/games/the-adventures-of-jimmy-neutron-boy-genius-jimmy-neutron-vs-jimmy-negatron/gba-482129,http://gameboy.ign.com/articles/375/375098p1.html,36.99 USD,6.0,GBA PC,"September 24, 2002","http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Mediocre,5.3,Comic Mischief,E for Everyone,Okay
Midway  Games,Shooter,7 Studios,"An intense combat-action flying experience, Defender offers players the ultimate in next-generation action and strategy. Players defend and protect the human race from an alien invasion as they assume the controls of next-generation combat-ready Defender ships. Battling an onslaught of vicious aliens, players strategically pilot their ship through more than 14 treacherous missions spanning the solar system, executing dynamic tactical maneuvers such as barrel rolls, 360-degree loops and spinning reversals in order to evade the enemy.",Defender,http://www.ign.com/games/defender/ps2-16642,http://ps2.ign.com/articles/375/375127p1.html,7.99 USD,7.5,PS2 2600 GBA Arcade 400/800 Coleco Xbox 360 Web Xbox GCN TI-99 Cell 5200,"October 21, 2002","http://www.ign.com/games/star-wars-battlefront-ii-2005/ps2-737697,http://www.ign.com/games/killzone/ps2-568333,http://www.ign.com/games/call-of-duty-finest-hour/ps2-550009,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.1,Realistic Violence,T for Teen,Good
Konami,RPG,Konami,,Suikoden III,http://www.ign.com/games/suikoden-iii/ps2-16992,http://ps2.ign.com/articles/375/375125p1.html,24.99 USD,9.4,PS2 PS3,"October 24, 2002","http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/final-fantasy-x/ps2-14008,http://www.ign.com/games/final-fantasy-xii/ps2-488222,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Great,8.9,Suggestive Themes,T for Teen,Amazing
SEGA,Platformer,"ToeJam & Earl Productions (TJ&E), Visual Concepts","ToeJam and Big Earl are back and they're looking better than ever on the Microsoft Xbox. Follow ToeJam, Big Earl and their new friend, Latisha, as they recover the 12 sacred albums of Funk which were stolen from Lamont, the Great Funkopotamous. Get ready for non-stop action, rhythm, mini-games and the funkiest trio you'll ever see on the Microsoft Xbox. Are you funky enough?",ToeJam & Earl III: Mission to Earth,http://www.ign.com/games/toejam-and-earl-iii/xbox-480370,http://xbox.ign.com/articles/375/375123p1.html,19.99 USD,6.3,Xbox DC,"October 22, 2002","http://www.ign.com/games/psychonauts/xbox-482075,http://www.ign.com/games/blinx-the-time-sweeper-139497/xbox-482070,http://www.ign.com/games/crash-bandicoot-the-wrath-of-cortex/xbox-17503,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Good,7.4,"Comic Mischief, Mild Language",T for Teen,Okay
