publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
Konami,"Third-Person, Action",Konami TYO,"Konami's famed vampire hunting series makes its debut on the PlayStation 2 with

. It tells the story of the Belmont family's first encounter with the dark lord Dracula, and connects the lineage of previous Belmont adventurers. Gameplay blends the series' trademark 2D whip-cracking and platforming elements with a new detailed 3D environment.",Castlevania: Lament of Innocence,http://www.ign.com/games/castlevania-lament-of-innocence/ps2-499657,http://ps2.ign.com/articles/455/455583p1.html,19.99 USD,9.0,PS2 PS3,"October 21, 2003","http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/god-of-war/ps2-661321,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Great,8.4,"Mild Realistic Violence, Blood and Gore",M for Mature,Amazing
Ubisoft,"Turn-Based, Strategy",Infinite Interactive,"Warlords IV: Heroes of Etheria is a turn based strategy game.  Like many fantasy games, Warlords IV: Heroes of Etheria features character development, spellcasting, and an intriguing story line.  One interesting feature is that there is an option for automated resource gathering, and auto-resolve for political situations.",Warlords IV: Heroes of Etheria,http://www.ign.com/games/warlords-iv-heroes-of-etheria/pc-12055,http://pc.ign.com/articles/456/456777p1.html,19.99 USD,8.5,PC,"Oct 21, 2003","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.7,"Blood, Violence",T for Teen,Great
Activision,"Extreme Sports, Sports",Vicarious Visions,"Activision's definitive skateboarding game returns on the PlayStation 2, GameCube, Xbox, Game Boy Advance and PC with

. In a departure from former games in the series,

gives players the chance to take an ambitious non-pro skater from an unknown, to superstar status. 

For the first time in the series, players will be able to get off their board and explore the expansive levels on foot, or in a vehicle. Customize the look of your skater, your skater's tricks, and even create custom skateparks.

features nine sprawling courses, as well as a level of freedom and customization that is unprecedented in the popular series.",Tony Hawk's Underground,http://www.ign.com/games/tony-hawks-underground/gba-606385,http://gameboy.ign.com/articles/456/456718p1.html,19.99 USD,9.5,GBA Xbox PS2 Cell GCN PC,"October 27, 2003","http://www.ign.com/games/mario-golf-advance-tour/gba-550432,http://www.ign.com/games/tony-hawks-pro-skater-2/gba-16246,http://www.ign.com/games/shaun-palmers-pro-snowboarder/gba-16410,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Great,8.4,Blood,E for Everyone,Amazing
Vivendi Games,"First-Person, Shooter","Argonaut Games, Sierra","SWAT: GST is a first-person tactical arcade game combining the strategic elements of SWAT 3 with the instantly accessible arcade action of the Virtua Cop series. Like the real-life SWAT organization itself, the SWAT Global Strike Team is a life-saving organization tasked with defending and saving the lives of the innocent. As a member of the SWAT Global Strike Team gamers will be called to duty at a moment?s notice, confronted with missions unlike any seen before.

Founded in 2008, The Global Strike Team is an international offshoot from the SWAT organization tasked with helping countries and organizations around the globe to resolve situations they cannot accomplish successfully on their own.",SWAT: Global Strike Team,http://www.ign.com/games/swat-global-strike-team/ps2-17184,http://ps2.ign.com/articles/456/456793p1.html,19.99 USD,6.6,PS2 Xbox,"October 27, 2003","http://www.ign.com/games/star-wars-battlefront-ii-2005/ps2-737697,http://www.ign.com/games/killzone/ps2-568333,http://www.ign.com/games/call-of-duty-finest-hour/ps2-550009,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Okay,6.9,"Strong Language, Blood and Gore, Intense Violence",M for Mature,Okay
Activision,"First-Person, Shooter",Infinity Ward,"Call of Duty puts players in the shoes of a foot soldier in the American, British, and Russian armies during the Second World War. These soldiers aren't the one-man armies of other games; these soldiers are just another cog in the war machine.

Amazing sound and chaotic combat are the rule as you and your computer controlled squads attack and defend towns, infiltrate German naval ships, race headlong through the German front lines, and drive tanks from D-Day to the capture of Berlin. Add a healthy portion of multiplayer gaming with 5 modes of play and the nifty new Killcam and you've got yourself a tight package that will keep you glued to your seat.",Call of Duty,http://www.ign.com/games/call-of-duty/pc-550042,http://pc.ign.com/articles/456/456776p1.html,19.99 USD,9.3,PC Mac PS3 Xbox 360,"Oct 29, 2003","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Great,8.8,"Blood, Violence",T for Teen,Amazing
Namco,"Third-Person, Shooter",Namco,"In a world on the brink of global conflict, you find yourself back on the front lines of battle. Only this time, you're not here to prevent a war...  You're here to start one. A third-person shooter from Namco, kill.switch is a mission-based jaunt with 16 different weapons, 15 scenarios, and an emphasis on finding cover for protection. Players can dynamically use their environment as cover -- conform to objects and terrain, popping out to fire from protected positions. There is also a blindfire move that lets the main character fire without even looking. The relentless enemies in the game use the same tactics available to the player, and work as teams to take you down.",kill.switch,http://www.ign.com/games/killswitch/xbox-566615,http://xbox.ign.com/articles/456/456687p1.html,12.99 USD,8.0,Xbox PC PS2 GBA,"October 28, 2003","http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/doom-3/xbox-482119,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Great,8.1,"Strong Language, Violence",T for Teen,Great
cdv Software Entertainment,"Real-Time, Strategy",Related Designs,"The battlefields of Europe in World War I were not pretty. Soldiers bogged down in mud-filled trenches, standing to fire and lob chlorine gas bombs at the enemy, sometimes running brave charges at great risk of being mowed down by machine gun fire. In this real-time strategy title, you will have to lead your men over this no-man's land, making split-second combat decisions.  You control up to 80 foot-soldiers, as well as gas mortars and artillery units.",No Man's Land: Fight for Your Rights!,http://www.ign.com/games/no-mans-land-fight-for-your-rights/pc-478837,http://pc.ign.com/articles/456/456449p1.html,9.99 USD,7.6,PC,"Nov 11, 2003","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.5,"Blood, Animated Violence, Realistic Violence",T for Teen,Good
LucasArts,Shooter,Factor 5,"Factor 5's follow-up to the successful Star Wars launch title recreates battles from the first three movies both in the air and on the ground. Pilot your favorite vehicles from the movies such as AT-Sts, B-wings, A-wings, and speederbikes, and navigate them through various places in the Star Wars universe. Participate in multiplayer modes including co-op mode, capture-the-base, endurance mode, and dogfighting.

takes full advantage of the technical capabilities of the Nintendo GameCube supporting HDTV Progressive Scan, and vivid 5-channel Dolby Pro Logic 2 surround sound.",Star Wars Rogue Squadron III: Rebel Strike,http://www.ign.com/games/star-wars-rogue-squadron-iii-rebel-strike/gcn-546759,http://cube.ign.com/articles/455/455717p1.html,19.99 USD,8.3,GCN,"October 20, 2003","http://www.ign.com/games/james-bond-007-nightfire/gcn-480685,http://www.ign.com/games/star-fox-assault/gcn-481615,http://www.ign.com/games/turok-evolution/gcn-15817,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713",Great,8.3,Violence,T for Teen,Great
SEGA,Sports,Hitmaker,"Virtua Tennis, the arcade smash hit, comes to center court on the N-Gage. Experience the same grand slamming gameplay as in the arcade arena. This game is sure to keep the most dedicated tennis fan riveted to the net.",Virtua Tennis,http://www.ign.com/games/virtua-tennis/nng-573374,http://ngage.ign.com/articles/455/455463p1.html,14.99 USD,3.5,NNG Arcade GBA PC Cell DC,"November 18, 2003","http://www.ign.com/games/mlb-slam/nng-573343,http://www.ign.com/games/fifa-2004/nng-608300,http://www.ign.com/games/ssx-out-of-bounds/nng-683936,http://www.ign.com/games/operation-shadow/nng-616991,http://www.ign.com/games/the-king-of-fighters-extreme/nng-682883,http://www.ign.com/games/hooked-on-creatures-of-the-deep/nng-827268",Mediocre,5.0,No Descriptors,E for Everyone,Awful
Electronic Arts,"Extreme Sports, Sports",EA Canada,"EA takes its snowboarding series to higher ground -- this time, to the tippy-top slopes of three fully-modeled mountains for players to explore and shred. It's a revolution inspired by free-roam success of Rockstar's

franchise, but EA has made the idea all its own by filling each mountain with miles of terrain to explored and a variety of challenges, course races, stunts and rival encounters to compete against. New to the series beyond the open course structure is the boardpress move (much like the ""manual"" in other extreme sports games) for stringing combos together across flatlands, extreme weather affects that affect rider physics and can even bring an avalanche down on players, 3-level Uber tricks, handplant tricks, and improvements in character customization.",SSX 3,http://www.ign.com/games/ssx-3/xbox-552424,http://xbox.ign.com/articles/455/455455p1.html,19.99 USD,9.4,Xbox GBA GCN Giz PS2,"October 20, 2003","http://www.ign.com/games/espn-nfl-2k5/xbox-674666,http://www.ign.com/games/dead-or-alive-xtreme-beach-volleyball/xbox-482154,http://www.ign.com/games/tony-hawks-american-wasteland/xbox-740724,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Amazing,9.0,"Comic Mischief, Mild Animated Violence, Mild Realistic Violence",E for Everyone,Amazing
